epoch,loss,mse,val_mse,val_loss
1,0.0678669661283493,0.009418010711669922,0.0016266534803435206,0.029791414737701416
2,0.03151689097285271,0.0016951048746705055,0.0015763541450724006,0.029219483956694603
3,0.028672508895397186,0.0014240811578929424,0.0016584990080446005,0.03010990098118782
4,0.027150515466928482,0.0012941196328029037,0.0016109815333038568,0.029491763561964035
5,0.026011718437075615,0.0012020959984511137,0.0015519348671659827,0.028890926390886307
6,0.024762243032455444,0.0011049606837332249,0.00166324432939291,0.029976235702633858
7,0.02392411418259144,0.0010358969448134303,0.0014649878721684217,0.02807939238846302
8,0.02326478250324726,0.0009756612707860768,0.0014353978913277388,0.02776642143726349
9,0.022572040557861328,0.0009248014539480209,0.0014713902492076159,0.0282753836363554
10,0.02217009663581848,0.0009004043531604111,0.001407214323990047,0.02752377651631832
